,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
144,현대중국사회의이해,0ARG1141,2,3.0,치아오 춘옌,월5~7,일반교양,2.0
145,현대사회와가족의이해,0ARG1154,2,2.0,배성아,수3~4,일반교양,2.0
146,부동산과생활경제,0ARG1158,2,3.0,이재순,월2~4,일반교양,2.0
147,[나눔]생활속토론나눔,0ARG1224,2,2.0,전영미,화5~6,일반교양,2.0
148,글로벌이슈,0ARG1236,2,2.0,데이비드 데보라,화5~6,일반교양,2.0
149,세계경제역사속메디치효과,0ARG1244,2,2.0,벤자민 스웬슨,목1~2,일반교양,2.0
150,기업윤리의이해,0ARG1245,2,2.0,최승준,화5~6,일반교양,2.0
151,미디어발달과뉴미디어이해,0ARG1248,2,3.0,김용석,목1~3,일반교양,2.0
152,북한역사의이해,0ARG1256,2,2.0,이세진,목3~4,일반교양,2.0
153,쟁점으로본한국근현대사,0ARG1260,2,2.0,이세진,목1~2,일반교양,2.0
154,기업가정신과ESG,0ARG1307,2,2.0,전영미,수3~4,일반교양,2.0
155,역사속의도시이야기,0ARG1323,2,2.0,브라이언,수3~4,일반교양,2.0
156,ESG기독교성품과사회적기여,0ARG1329,2,2.0,윤은석,월1~2,일반교양,2.0
157,멘토링과자기계발,0ARG1330,2,2.0,데이비드 데보라,화7~8,일반교양,2.0
158,플랫폼비즈니스와벤처,0ARG1214,7,3.0,김상범,수7~9,일반교양,2.0
159,환경윤리,0ARG1254,7,2.0,김완구,수5~6,일반교양,2.0
160,삶과직업윤리,0ARG1255,9,2.0,김완구,수7~8,일반교양,2.0
161,홈페이지입문,0ARG1297,1,2.0,안용학,목2~3,일반교양,3.0
162,시각적커뮤니케이션,0ARG1299,1,2.0,허친슨,목1~2,일반교양,3.0
163,성의과학,0ARB5590,2,2.0,방인석,목4~5,일반교양,3.0
164,과학적소통을위한수학,0ARG1169,2,2.0,박영자,목7~8,일반교양,3.0
165,생명과학의현대적이해,0ARB0423,2,2.0,김산,월1~2,일반교양,3.0
166,21세기녹색환경문화,0ARB0424,2,2.0,이기영,화3~4,일반교양,3.0
167,신체발육발달과운동,0ARB1730,2,2.0,이준우,목7~8,일반교양,3.0
168,환경과조경,0ARB5515,2,2.0,이상국,수2~3,일반교양,3.0
169,인간두뇌의이해,0ARG1120,2,3.0,방인석,화2~4,일반교양,3.0
170,사진과시네마토그래피,0ARG1140,2,2.0,김윤경,금1~2,일반교양,3.0
171,4차산업혁명시대의컴퓨터과학,0ARG1150,2,3.0,이호석,화5~7,일반교양,3.0
172,인간질병의이해,0ARG1157,2,2.0,방인석,월6~7,일반교양,3.0
173,[나눔]소프트웨어창의나눔,0ARG1223,2,2.0,이경희,화5~6,일반교양,3.0
174,정보기술의역사와트렌드,0ARG1258,2,3.0,이동욱,수5~7,일반교양,3.0
175,[나눔]스타트인공지능,0ARG1303,2,2.0,전수진,수2~3,일반교양,3.0
176,인공지능융합ESG,0ARG1305,2,2.0,이경희,화3~4,일반교양,3.0
177,손에잡히는데이터시각화,0ARG1321,2,2.0,문정경,월4~5,일반교양,3.0
178,소프트웨어중심세상,0ARG1336,2,2.0,문정경,수2~3,일반교양,3.0
179,과학기술과미래사회,0ARG1345,2,2.0,전철규,목7~8,일반교양,3.0
180,창의적발상과기법,0ARG1259,9,2.0,황길주,수1~2,일반교양,3.0
181,글로벌시대의한국,0ARB2021,2,2.0,치아오 춘옌,월1~2,일반교양,4.0
182,한중문화비교탐방,0ARB2570,2,2.0,정다정,수7~8,일반교양,4.0
183,아산의이해,0ARB3005,2,2.0,전영미,목1~2,일반교양,4.0
184,과학문명의이해,0ARB4210,2,2.0,노혜경,금3~4,일반교양,4.0
185,현대사회의갈등과공존,0ARB6632,2,2.0,이세진,수3~4,일반교양,4.0
186,창의적사고와디자인(창업가정신),0ARG1068,2,2.0,이철재,화3~4,일반교양,4.0
187,영화읽고철학하기,0ARG1123,2,2.0,정영기,목7~8,일반교양,4.0
188,과학과윤리,0ARG1134,2,2.0,이기영,수7~8,일반교양,4.0
189,문화속의과학기술과음악,0ARG1148,2,3.0,이은영,화5~7,일반교양,4.0
190,로봇윤리의이해,0ARG1149,2,2.0,최효선,수5~6,일반교양,4.0
191,미디어로다시읽는영미명작,0ARG1156,2,2.0,김혜경,수5~6,일반교양,4.0
192,우리몸의이해와생활안전(팀티칭),0ARG1161,2,2.0,방인석,목1~2,일반교양,4.0
193,사물인터넷과미래생활(벤처창업),0ARG1166,2,3.0,박기호,목2~4,일반교양,4.0
194,공연영상미디어와치유,0ARG1167,2,3.0,김향,월7~9,일반교양,4.0
195,4차산업혁명시대의그림책읽기,0ARG1219,2,2.0,김윤경,화5~6,일반교양,4.0
196,충남의이해,0ARG1240,2,2.0,구경완,화7~8,일반교양,4.0
197,현대사회의사운드아트,0ARG1269,2,2.0,이은영,화1~2,일반교양,4.0
198,미래기술과산업,0ARG1274,2,2.0,신현곤,수3~4,일반교양,4.0
199,공간이만드는심리세계,0ARG1280,2,2.0,정성욱,월6~7,일반교양,4.0
200,환경글로벌솔루션,0ARG1313,2,2.0,텐진 버제스,월3~4,일반교양,4.0
201,디지털전환경영및기술의이해,0ARG1327,2,3.0,이동욱,화5~7,일반교양,4.0
202,포스트휴머니즘의이해,0ARG1276,7,2.0,김완구,월7~8,일반교양,4.0
203,과학기술과경제사,0ARG1279,7,2.0,이세진,수5~6,일반교양,4.0
204,ESG교육프로그램개발,0ARG1306,7,2.0,이형주,화3~4,일반교양,4.0
205,논리적사고와표현,0APR1149,1,2.0,정영기,"화7, 수15",기초교양, 
206,논리적사고와표현,0APR1149,2,2.0,정영기,"화8, 목14",기초교양, 
207,논리적사고와표현,0APR1149,4,2.0,정영기,"월3, 금14",기초교양, 
208,논리적사고와표현,0APR1149,5,2.0,정영기,"월4, 토15",기초교양, 
209,논리적사고와표현,0APR1149,6,2.0,김완구,"월3, 월13",기초교양, 
210,논리적사고와표현,0APR1149,7,2.0,김완구,"월4, 화13",기초교양, 
211,논리적사고와표현,0APR1149,3,2.0,김완구,"목6, 목15",기초교양, 
212,글쓰기와커뮤니케이션,0APR1150,1,2.0,손민영,월4~5,기초교양, 
213,글쓰기와커뮤니케이션,0APR1150,2,2.0,이정선,화7~8,기초교양, 
214,글쓰기와커뮤니케이션,0APR1150,3,2.0,한정순,월2~3,기초교양, 
215,글쓰기와커뮤니케이션,0APR1150,4,2.0,손태도,월2~3,기초교양, 
216,글쓰기와커뮤니케이션,0APR1150,5,2.0,한정순,월4~5,기초교양, 
217,글쓰기와커뮤니케이션,0APR1150,6,2.0,손민영,월6~7,기초교양, 
218,글쓰기와커뮤니케이션,0APR1150,7,2.0,김향,화1~2,기초교양, 
219,글쓰기와커뮤니케이션,0APR1150,8,2.0,한정순,화1~2,기초교양, 
220,글쓰기와커뮤니케이션,0APR1150,9,2.0,손태도,화1~2,기초교양, 
221,글쓰기와커뮤니케이션,0APR1150,10,2.0,김향,화5~6,기초교양, 
222,글쓰기와커뮤니케이션,0APR1150,11,2.0,윤재연,화5~6,기초교양, 
223,글쓰기와커뮤니케이션,0APR1150,29,2.0,김찬곤,월5~6,기초교양, 
224,글쓰기와커뮤니케이션,0APR1150,31,2.0,윤재연,화7~8,기초교양, 
